            S1	      S0	   TOTAL	
 C58:*       1	       2	       3	(0.20)
 C59:*       1	       1	       2	(0.13)
  C6:*       2	       1	       3	(0.20)
 C60:*       0	       2	       2	(0.13)
 C61:*       1	       3	       4	(0.26)
 C62:*       2	       5	       7	(0.46)
 C63:*       0	       5	       5	(0.33)
 C64:*       0	       2	       2	(0.13)
 C65:*       0	       9	       9	(0.59)
 C66:*       2	       3	       5	(0.33)
 C67:*       0	       7	       7	(0.46)
 C68:*       3	       7	      10	(0.65)
 C69:*       1	       3	       4	(0.26)
  C7:*       9	       1	      10	(0.65)
 C70:*       4	       7	      11	(0.72)
 C71:*       1	       7	       8	(0.52)
 C72:*       0	       3	       3	(0.20)
 C73:*       0	       4	       4	(0.26)
 C74:*       2	      10	      12	(0.78)
 C75:*       0	       4	       4	(0.26)
 C76:*       1	       1	       2	(0.13)
 C77:*       0	       3	       3	(0.20)
 C78:*       3	       8	      11	(0.72)
 C79:*       0	       2	       2	(0.13)
  C8:*       8	       0	       8	(0.52)
 C80:*       0	       5	       5	(0.33)
 C81:*       0	       3	       3	(0.20)
 C82:*       1	       3	       4	(0.26)
 C83:*       2	       1	       3	(0.20)
 C84:*       1	       1	       2	(0.13)
 C85:*       0	       2	       2	(0.13)
 C86:*       0	      12	      12	(0.78)
 C87:*       2	      13	      15	(0.98)
 C88:*       0	       2	       2	(0.13)
 C89:*       0	       7	       7	(0.46)
  C9:*      18	      12	      30	(1.96)
 C90:*       3	      10	      13	(0.85)
 C91:*       0	       4	       4	(0.26)
 C92:*       0	      10	      10	(0.65)
 C93:*       0	       4	       4	(0.26)
 C94:*       1	       5	       6	(0.39)
 C95:*       0	       3	       3	(0.20)
 C96:*       1	       5	       6	(0.39)
 C97:*       0	      10	      10	(0.65)
 C98:*       0	       6	       6	(0.39)
 C99:*       0	       5	       5	(0.33)
 TOTAL     562	     972	    1534
         (36.64)   (63.36)
Precision = 87.88(58/66)
Recall = 3.78(58/1534+0)
F-Measure = 7.25

Legend of Sense Tags
S0 = g_y.government
S1 = g_y.year
