            S0	      S1	   TOTAL	
C158:*       0	       4	       4	(0.34)
C159:*       0	       4	       4	(0.34)
 C16:*       7	       0	       7	(0.60)
C160:*       0	       3	       3	(0.26)
C161:*       0	       3	       3	(0.26)
C162:*       0	       2	       2	(0.17)
C163:*       0	       7	       7	(0.60)
C164:*       0	       3	       3	(0.26)
C165:*       0	       7	       7	(0.60)
C166:*       0	       2	       2	(0.17)
C167:*       0	       2	       2	(0.17)
C168:*       0	       2	       2	(0.17)
C169:*       0	       2	       2	(0.17)
 C17:*       5	       0	       5	(0.43)
C170:*       0	       2	       2	(0.17)
C171:*       0	       2	       2	(0.17)
C172:*       0	       4	       4	(0.34)
C173:*       0	       3	       3	(0.26)
C174:*       0	       3	       3	(0.26)
C175:*       0	       2	       2	(0.17)
C176:*       0	       2	       2	(0.17)
C177:*       0	       5	       5	(0.43)
C178:*       0	       6	       6	(0.51)
C179:*       0	       3	       3	(0.26)
 C18:*       8	       0	       8	(0.69)
C180:*       1	       4	       5	(0.43)
C181:*       2	       0	       2	(0.17)
C182:*       0	       4	       4	(0.34)
C183:*       0	       4	       4	(0.34)
C184:*       0	       5	       5	(0.43)
C185:*       0	       3	       3	(0.26)
C186:*       0	       3	       3	(0.26)
C187:*       0	       3	       3	(0.26)
C188:*       0	       9	       9	(0.77)
C189:*       0	       2	       2	(0.17)
 C19:*       3	       0	       3	(0.26)
C190:*       0	       2	       2	(0.17)
C192:*       0	       3	       3	(0.26)
C193:*       0	       2	       2	(0.17)
C194:*       0	       2	       2	(0.17)
C195:*       0	       6	       6	(0.51)
C196:*       0	       4	       4	(0.34)
C197:*       0	       3	       3	(0.26)
C198:*       0	       5	       5	(0.43)
C199:*       0	       5	       5	(0.43)
  C2:*       4	       0	       4	(0.34)
 C20:*       3	       0	       3	(0.26)
C200:*       0	       9	       9	(0.77)
C201:*       0	       5	       5	(0.43)
C202:*       0	       4	       4	(0.34)
C203:*       0	       2	       2	(0.17)
C204:*       0	       3	       3	(0.26)
C205:*       0	       5	       5	(0.43)
C206:*       0	       7	       7	(0.60)
C207:*       0	       2	       2	(0.17)
C208:*       0	       4	       4	(0.34)
C209:*       0	       3	       3	(0.26)
 C21:*      10	       0	      10	(0.86)
C210:*       0	       2	       2	(0.17)
C211:*       0	       5	       5	(0.43)
C212:*       0	       2	       2	(0.17)
C213:*       0	       4	       4	(0.34)
C214:*       0	       2	       2	(0.17)
C215:*       0	       2	       2	(0.17)
C216:*       0	       2	       2	(0.17)
C217:*       0	       3	       3	(0.26)
C218:*       0	       3	       3	(0.26)
C219:*       0	       2	       2	(0.17)
 C22:*       2	       0	       2	(0.17)
C220:*       0	       9	       9	(0.77)
C221:*       0	       2	       2	(0.17)
C222:*       0	       5	       5	(0.43)
C223:*       0	       2	       2	(0.17)
C224:*       0	       2	       2	(0.17)
C225:*       0	       2	       2	(0.17)
C226:*       0	       4	       4	(0.34)
C227:*       0	       4	       4	(0.34)
C228:*       0	       3	       3	(0.26)
C229:*       0	       4	       4	(0.34)
 C23:*       2	       0	       2	(0.17)
C230:*       0	       3	       3	(0.26)
C231:*       0	       3	       3	(0.26)
C232:*       0	       2	       2	(0.17)
C233:*       0	       2	       2	(0.17)
C234:*       0	       3	       3	(0.26)
C235:*       0	       6	       6	(0.51)
C236:*       0	       2	       2	(0.17)
C237:*       0	       3	       3	(0.26)
C238:*       0	       4	       4	(0.34)
C239:*       0	       2	       2	(0.17)
 C24:*       3	       0	       3	(0.26)
C240:*       0	       4	       4	(0.34)
C241:*       0	       6	       6	(0.51)
C242:*       0	       5	       5	(0.43)
C243:*       0	       2	       2	(0.17)
C244:*       0	       2	       2	(0.17)
C245:*       0	       3	       3	(0.26)
C246:*       0	       7	       7	(0.60)
C247:*       0	       4	       4	(0.34)
C248:*       0	       3	       3	(0.26)
C249:*       0	       2	       2	(0.17)
 C25:*       2	       0	       2	(0.17)
C250:*       0	       2	       2	(0.17)
C251:*       0	       2	       2	(0.17)
C252:*       0	       3	       3	(0.26)
C253:*       0	       3	       3	(0.26)
C254:*       0	       2	       2	(0.17)
C255:*       0	       2	       2	(0.17)
C256:*       0	       4	       4	(0.34)
C257:*       0	       3	       3	(0.26)
C258:*       0	       2	       2	(0.17)
C259:*       0	       7	       7	(0.60)
 C26:*       3	       0	       3	(0.26)
C260:*       0	       3	       3	(0.26)
C261:*       0	       3	       3	(0.26)
C262:*       0	       3	       3	(0.26)
C263:*       0	       3	       3	(0.26)
C264:*       0	       5	       5	(0.43)
C265:*       0	       4	       4	(0.34)
C266:*       0	       2	       2	(0.17)
C267:*       0	       2	       2	(0.17)
C268:*       0	       3	       3	(0.26)
C269:*       0	       4	       4	(0.34)
 C27:*       4	       0	       4	(0.34)
C270:*       0	       2	       2	(0.17)
C271:*       0	       5	       5	(0.43)
C272:*       0	       2	       2	(0.17)
C273:*       1	       5	       6	(0.51)
C274:*       0	       4	       4	(0.34)
C275:*       0	       2	       2	(0.17)
C276:*       0	       2	       2	(0.17)
C277:*       0	       2	       2	(0.17)
C278:*       0	       2	       2	(0.17)
C279:*       0	       3	       3	(0.26)
 C28:*       4	       0	       4	(0.34)
C280:*       0	       2	       2	(0.17)
C281:*       0	       4	       4	(0.34)
C282:*       0	       4	       4	(0.34)
C283:*       0	       2	       2	(0.17)
C284:*       0	       4	       4	(0.34)
C285:*       0	       2	       2	(0.17)
C286:*       0	       3	       3	(0.26)
C287:*       0	       4	       4	(0.34)
C288:*       0	       2	       2	(0.17)
C289:*       0	       2	       2	(0.17)
 C29:*       2	       0	       2	(0.17)
C290:*       0	       3	       3	(0.26)
C291:*       0	       2	       2	(0.17)
C292:*       0	       6	       6	(0.51)
C293:*       0	       2	       2	(0.17)
C294:*       0	       3	       3	(0.26)
C295:*       0	       3	       3	(0.26)
C296:*       0	       2	       2	(0.17)
C297:*       0	       2	       2	(0.17)
C298:*       0	       5	       5	(0.43)
C299:*       0	       6	       6	(0.51)
  C3:*       6	       0	       6	(0.51)
 C30:*       5	       0	       5	(0.43)
C300:*       0	       2	       2	(0.17)
C301:*       0	       2	       2	(0.17)
C302:*       0	       2	       2	(0.17)
C303:*       0	       3	       3	(0.26)
C304:*       0	       2	       2	(0.17)
C305:*       0	       2	       2	(0.17)
C306:*       0	       2	       2	(0.17)
C307:*       0	       2	       2	(0.17)
C308:*       0	       3	       3	(0.26)
C309:*       0	       2	       2	(0.17)
 C31:*       4	       0	       4	(0.34)
C310:*       0	       2	       2	(0.17)
C311:*       0	       2	       2	(0.17)
C312:*       0	       2	       2	(0.17)
C313:*       0	       2	       2	(0.17)
C314:*       0	       3	       3	(0.26)
C315:*       0	       3	       3	(0.26)
C316:*       0	       2	       2	(0.17)
C317:*       0	       3	       3	(0.26)
C318:*       0	       4	       4	(0.34)
C319:*       0	       3	       3	(0.26)
 C32:*       4	       0	       4	(0.34)
C320:*       0	       3	       3	(0.26)
C321:*       0	       2	       2	(0.17)
C322:*       1	       1	       2	(0.17)
 C33:*       2	       0	       2	(0.17)
 C34:*       3	       0	       3	(0.26)
 C35:*       3	       0	       3	(0.26)
 C36:*       4	       0	       4	(0.34)
 C37:*       2	       0	       2	(0.17)
 C38:*      10	       0	      10	(0.86)
 C39:*       3	       0	       3	(0.26)
  C4:*       3	       0	       3	(0.26)
 C40:*       2	       0	       2	(0.17)
 C41:*       3	       0	       3	(0.26)
 C42:*       4	       0	       4	(0.34)
 C43:*       3	       0	       3	(0.26)
 C44:*       6	       0	       6	(0.51)
 C45:*       2	       0	       2	(0.17)
 C46:*       3	       0	       3	(0.26)
 C47:*       6	       0	       6	(0.51)
 C48:*       4	       0	       4	(0.34)
 C49:*       6	       0	       6	(0.51)
  C5:*       6	       0	       6	(0.51)
 C50:*      13	       0	      13	(1.11)
 C51:*       5	       0	       5	(0.43)
 C52:*       4	       0	       4	(0.34)
 C53:*       8	       0	       8	(0.69)
 C54:*       8	       0	       8	(0.69)
 C55:*       3	       0	       3	(0.26)
 C56:*       4	       0	       4	(0.34)
 C57:*       2	       0	       2	(0.17)
 C58:*       4	       0	       4	(0.34)
 C59:*      10	       0	      10	(0.86)
  C6:*       3	       0	       3	(0.26)
 C60:*       5	       0	       5	(0.43)
 C61:*      11	       0	      11	(0.94)
 C62:*       4	       0	       4	(0.34)
 C63:*       3	       0	       3	(0.26)
 C64:*       2	       0	       2	(0.17)
 C65:*       2	       0	       2	(0.17)
 C66:*       2	       0	       2	(0.17)
 C67:*       4	       0	       4	(0.34)
 C68:*       2	       0	       2	(0.17)
 C69:*       2	       0	       2	(0.17)
  C7:*       2	       0	       2	(0.17)
 C70:*       2	       0	       2	(0.17)
 C71:*       6	       0	       6	(0.51)
 C72:*       4	       0	       4	(0.34)
 C73:*       6	       0	       6	(0.51)
 C74:*       2	       0	       2	(0.17)
 C75:*       4	       0	       4	(0.34)
 C76:*       4	       0	       4	(0.34)
 C77:*       8	       0	       8	(0.69)
 C78:*       2	       0	       2	(0.17)
 C79:*       3	       0	       3	(0.26)
  C8:*       3	       0	       3	(0.26)
 C80:*       5	       0	       5	(0.43)
 C81:*       4	       0	       4	(0.34)
 C82:*       3	       0	       3	(0.26)
 C83:*       5	       0	       5	(0.43)
 C84:*       3	       0	       3	(0.26)
 C85:*       2	       0	       2	(0.17)
 C86:*       4	       0	       4	(0.34)
 C87:*       2	       0	       2	(0.17)
 C88:*       2	       0	       2	(0.17)
 C89:*       2	       0	       2	(0.17)
  C9:*       3	       0	       3	(0.26)
 C90:*       5	       0	       5	(0.43)
 C91:*       2	       0	       2	(0.17)
 C92:*       2	       0	       2	(0.17)
 C93:*       5	       0	       5	(0.43)
 C94:*       7	       0	       7	(0.60)
 C95:*       3	       0	       3	(0.26)
 C96:*       3	       0	       3	(0.26)
 C97:*       2	       0	       2	(0.17)
 C98:*       5	       0	       5	(0.43)
 C99:*       2	       0	       2	(0.17)
 TOTAL     609	     557	    1166
         (52.23)   (47.77)
Precision = 100.00(24/24)
Recall = 2.06(24/1166+0)
F-Measure = 4.03

Legend of Sense Tags
S0 = I_M.India
S1 = I_M.Microsoft
